Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos,comp
"I'm surprised the phone call didn't take as long as the covid one did. Which was more than 6 month ring I'm guessing. 

I was assuming that government officials owned cell phones, This was my floor from the very beginning and why no one wanted to listen when I told them that theâ¦",,,0.042,0.921,0.036,-0.0772
Whoâs in control of the hospital?,,,0.0,1.0,0.0,0.0
hahah. As if you weren't constantly in contact with Hamas.,,,0.0,1.0,0.0,0.0
Thank God for the cell phone,,,0.0,0.465,0.535,0.5574
"Our troops risked their lives to hand-deliver 300 liters of fuel to the Shifa hospital for urgent medical purposes.

Hamas forbade the hospital from taking it. 

Gazaâs Hamas-run health ministry has been warning for weeks that its hospitals are running out of fuel. If so, whyâ¦",,,0.088,0.876,0.037,-0.3612
How many functioning hospitals were there in Khartoum or Mekelle during the wartime period in Sudan and Tigray?,,,0.0,1.0,0.0,0.0
Spread the truth,,,0.0,0.465,0.535,0.3182
Shut up Criminalâ¦.you should be in jail!,,,0.0,1.0,0.0,0.0
A former Senior Governor of 20 major NHS Hospitals in London (our chairman) and his friends (who are current hospital governors across Britain) wept for hours as they heard the news about 500 humans beings died and thousands were injured when a hospital in Gaza was bombed by theâ¦ twitter.com/WHO/status/171â¦,,,0.165,0.78,0.055,-0.7351
"I pray the UNDP may lead Palestine after the atrocities of war, to lead past the pain of the past and horror of the survived present. 

I did not know what the UNDP was, however for those who donât know they are quite extraordinary! This is from their website:

âUNDPâs Programmeâ¦",,,0.184,0.724,0.092,-0.7644
"See people, you see a post like this and then one like below showing the opposite... Notice the lights on in the Hospital? 

 #IsraelFightsBack",,,0.0,0.808,0.192,0.6124
"Why donât you ask Hamas terrorists to release files from their storage? Or why they did not let the Israelisâ fuel to get to the hospital? By the way, the authorities  in Gaza are Hamas members.",,,0.113,0.887,0.0,-0.6662
Did the WHO condemn hamas for preventing the arranged fuel delivery?,,,0.291,0.709,0.0,-0.4019
Crimes against humanity,,,0.0,1.0,0.0,0.0
"You mean, End Hamas Now.  Fixed it for you.",,,0.0,1.0,0.0,0.0
Not one word about Hamas using this hospital as their HQ for the past 14 years?,,,0.0,1.0,0.0,0.0
Horrible. What have you done to release our hostages?,,,0.304,0.696,0.0,-0.5423
"You should blame Hamas for this. They have plenty of fuel, started the war and placed key strategic locations below the hospital.",,,0.24,0.76,0.0,-0.743
Stop lying Tedros,,,0.848,0.152,0.0,-0.6808
The world cannot stand silent when hospitals are used as human shields for terror command centers.,,,0.185,0.815,0.0,-0.5267
Blame #Hamas,,,0.706,0.294,0.0,-0.34
Any update on the well-being of the hostages?,,,0.0,1.0,0.0,0.0
"âIt's been 3 days without electricity, without waterâ

So they are all dead inside ?",,,0.264,0.736,0.0,-0.6486
"Untill when?.
All sorts of crimes against humanity has been on since 37 days.",,,0.0,1.0,0.0,0.0
Talk to Hamas. They can surrender. Quit being a simp for Hamas.,,,0.0,1.0,0.0,0.0
"You should blame Hamas for this. They have plenty of fuel, started the war and placed key strategic locations below the hospital.",,,0.24,0.76,0.0,-0.743
Stop lying Tedros,,,0.848,0.152,0.0,-0.6808
The world cannot stand silent when hospitals are used as human shields for terror command centers.,,,0.185,0.815,0.0,-0.5267
Blame #Hamas,,,0.706,0.294,0.0,-0.34
Any update on the well-being of the hostages?,,,0.0,1.0,0.0,0.0
"âIt's been 3 days without electricity, without waterâ

So they are all dead inside ?",,,0.264,0.736,0.0,-0.6486
"Thereâs only one question you should be asking about #ShifaHospital and it is this: 

If itâs âonly a hospitalâ why is it so heavily armed that it has taken the IDF days to just advance a few hundred meters towards it? 

Thatâs it. Thatâs the only question. 

Whatâs the answer?",,,0.0,1.0,0.0,0.0
"By this picture from today they still have electricity.

So you are lying, Hamas or both.",,,0.196,0.804,0.0,-0.5667
"Question? Israel government are saying that this is being used as a military base and that Hamas are using atypical tactics such as embedding themselves within civilian clothes and locations. 

Iv no idea if this is true of not, but you must understand that after Hamas murderedâ¦",,,0.034,0.926,0.04,0.0772
Mercy ,,,0.0,0.0,1.0,0.3612
"Hey ,
Why doesnât Hamas just surrender their HQs, missile factories, torture chambersâ¦sorry, I mean âthe hospitalsâ to the Israelis? The Israelis are then responsible for the patients, medical emergency solved!        

It is such a mystery.",,,0.169,0.722,0.109,-0.5255
Hamas has plenty of oil.,,,0.0,1.0,0.0,0.0
Easiest way to spot Hamas propaganda? Use your eyes.,,,0.169,0.593,0.237,0.2023
"Breaking : Japanese gather in support of Israel. That is a nice Jewish song, an Oldie 

 ",,,0.0,0.686,0.314,0.6705
" If you see this video of this child whose foot was broken in this brutal way by the Zi..onist mafia, then you are not a human being.

 Zio..nism is a criminal gang with media and money in its hands. Wake up, you free people",,,0.204,0.732,0.064,-0.8074
Bombs away!,,,0.0,1.0,0.0,0.0
The Israeli government need sanctioned,,,0.0,1.0,0.0,0.0
"What about the kidnapped children, women and men held in Gasa? Why don't you call for their release? Pls Use your power to help release them. No caesefire is possible as long as they are there",,,0.056,0.834,0.11,0.2869
#ReleaseTheHostagesNow,,,0.0,1.0,0.0,0.0
#HamasISIS #Hamas_is_ISIS #HamasMassacre #HamasNazis,,,0.0,1.0,0.0,0.0
Hostage?,,,0.0,1.0,0.0,0.0
Fake,,,1.0,0.0,0.0,-0.4767
CEASE FIRE NOW!,,,0.574,0.426,0.0,-0.4003
#CeasefireNOW,,,0.0,1.0,0.0,0.0
Please do something,,,0.0,0.465,0.535,0.3182
#CeasefireNOW,,,0.0,1.0,0.0,0.0
Please do something,,,0.0,0.465,0.535,0.3182
"In the comments repeatedly pointing to 'Hamas, Hamas, Hamas', a crucial misunderstanding of the core issue is evident. It's clear that the emergence of Hamas isn't the primary problem but rather a result of the prolonged occupation and the resultant suffering of Palestinians",,,0.13,0.796,0.074,-0.5605
"IDF provided fuel - are they using it? 

If not, why not?",,,0.0,1.0,0.0,0.0
"Just wait for the Israelis, the pro genocides to say :
WHO is antisemitic 
WHO is Hamas",,,0.0,1.0,0.0,0.0
"

Resign. NOW.",,,0.706,0.294,0.0,-0.34
I'm so sorry ,,,0.443,0.557,0.0,-0.1513
"As an immediate measure, UN should immediately ask all civilians to separate themselves from terrorists. No country tells its enemy for over 10 days that ground assault will start soon. Still, they did not separate themselves from terrorists. Israel gave civilians enough time.",,,0.318,0.682,0.0,-0.9565
We are listening,,,0.0,1.0,0.0,0.0
Surrender Hamas.,,,0.0,1.0,0.0,0.0
Funny that the only thing no one is calling for is Hamas to surrender. That is the easiest and most justified solution.,,,0.072,0.558,0.37,0.8431
#HamasSurrenderNow,,,0.0,1.0,0.0,0.0
"""the hospital is not functioning as a hospital anymore"" is your funniest take so far. You seem to not be up to date. Try to read up about it. It might inform you about the reason for the ongoing combat in the area.",,,0.052,0.87,0.078,0.296
My heart cries so much for these innocent lives that are the victims of this situation. God bless all.,,,0.19,0.532,0.278,0.3182
What about the hostages? Have you managed to get in touch with them?,,,0.0,1.0,0.0,0.0
"
 you said on Twitter this morning you wanted to address this crisis. I hope youâre working today sir.",,,0.214,0.659,0.127,-0.4543
Culprit is HAMAS.,,,0.0,1.0,0.0,0.0
my heart hurts for those doctors facing mass losses ,,,0.453,0.547,0.0,-0.7003
"AT THE VERY LEAST THERE SHOULD BE ALL POWER, FUEL AND WATER IN 
AL-SHIFA. ISRAEL IS COMPLICIT IN THIS HORRIBLE  LOSS OF LIFE AND UNBEARABLE TRAIMA.
THEY ARE HITTING AL-SHIFA!!!
STOP ISRAEL.",,,0.234,0.766,0.0,-0.8349
"A critical situation at Al-Shifa Hospital. Three days without electricity, water, and the internet are slowly taking a toll on the ability of doctors to provide basic medical assistance. Gunfire and bombing worsen the situation. The world should not remain silent. Ceasefire NOW!
#FreePalestine",,,0.125,0.826,0.049,-0.5562
"Is there a reason UN is not calling on Hamas to use its stockpiles of fuel, food, water and medicines for the hospitals and for other humanitarian relief?",,,0.0,0.893,0.107,0.4767
"WHAT CAN WE DO?!!
No one listens to the millions of people who are marching in the streets for a ceasefire. 
We call our representatives + keep telling our government we don't want this done in our name. 
They don't listen. 
@JoeBiden
 @ABlinken
 #CeasefireNOW",,,0.091,0.909,0.0,-0.4599
"no electricity? how come, lights and monitors are still on in those pictures of babies that were taken out of incubators?

maybe you should get some reliable sources.",,,0.087,0.913,0.0,-0.3736
"WHAT CAN WE DO?!!
No one listens to the millions of people who are marching in the streets for a ceasefire. 
We call our representatives + keep telling our government we don't want this done in our name. 
They don't listen. 
@JoeBiden
 @ABlinken
 #CeasefireNOW",,,0.091,0.909,0.0,-0.4599
"WHO IS PERPETRATING THE AIRSTRIKES?

Who has cut off water, food, fuel, and power??",,,0.169,0.831,0.0,-0.3899
Hypocrite !!! ,,,0.0,1.0,0.0,0.0
#CeaseFireNow,,,0.0,1.0,0.0,0.0
"Meanwhile , here in Australia our government has signed up with America, so we hear little else butâHamas Terroristsâ and Hamas atrocities , totally ignoring the REASON that HAMAS exists , just as Nelson Mandela rose to power after 27 years in gaol for being âa terroristâ.",,,0.065,0.935,0.0,-0.4576
"Do you work for Hamas, sir?",,,0.0,1.0,0.0,0.0
"Know one believes the WHO
Anyways they all seem to have working iPhones after 3 days of no power. I need update my phone to that type of battery",,,0.078,0.922,0.0,-0.296
"Interesting how well ""the hospital"" is holding up the attack, pretty tough guards you got there.",,,0.195,0.466,0.339,0.5267
Why not airdrop medical aid to Al-Shifa hospital? Jordan did that for its field hospital.,,,0.0,1.0,0.0,0.0
"Why is gunfire at the hospital?, that shows truly that Hamas base is there, if not there won't be gunfire at the hospital",,,0.0,0.884,0.116,0.4404
"They were told to evacuate 3 weeks ago. There has been a corridor open every day for a week.Why arent you getting medical personnel and patients out of a hospital that you know has Hamas under it, around it and integrated into it. Could the medical be part of Hamas?",,,0.0,1.0,0.0,0.0
Cease fire ,,,0.706,0.294,0.0,-0.34
Let's talk about the hospitals in Gaza...,,,0.0,1.0,0.0,0.0
Why not airdrop medical aid to Al-Shifa hospital? Jordan did that for its field hospital.,,,0.0,1.0,0.0,0.0
"UN is defacto USON (United States & Other Nations).
 Till the US agrees nothing will happen.",,,0.0,0.886,0.114,0.2023
"Why is gunfire at the hospital?, that shows truly that Hamas base is there, if not there won't be gunfire at the hospital",,,0.0,0.884,0.116,0.4404
"They were told to evacuate 3 weeks ago. There has been a corridor open every day for a week.Why arent you getting medical personnel and patients out of a hospital that you know has Hamas under it, around it and integrated into it. Could the medical be part of Hamas?",,,0.0,1.0,0.0,0.0
Cease fire ,,,0.706,0.294,0.0,-0.34
Let's talk about the hospitals in Gaza...,,,0.0,1.0,0.0,0.0
Thank you brothers. It takes a lot of courage these days to protest against genocide. Stay safe.,,,0.088,0.531,0.381,0.765
Ireland ,,,0.0,1.0,0.0,0.0
This is the real Jewish nation.  These are the people who really care.,,,0.0,0.775,0.225,0.5413
Much love and respect to our Jewish brothers and sisters standing against the oppression and the genocide of Palestinians. ,,,0.0,0.7,0.3,0.8074
These children walking down the street to protest has a deeper meaning: the parents donât want their children to learn the language of hate. They want their children to live each other and stand by each other. So deep and profound culture of  mutual love and respect.,,,0.103,0.719,0.178,0.4939
Massive respect to them all ,,,0.0,0.563,0.437,0.4767
Freaking Awesome!,,,0.389,0.0,0.611,0.3802
We should support palastine. ,,,0.0,0.526,0.474,0.4019
From river to sea Palestine will be free,,,0.0,0.68,0.32,0.5106
"Photo/video from the London pro-Palestine march 11/11/23

Orthodox Jews in attendance once again for another #FreePalestine rally",,,0.0,1.0,0.0,0.0
"Excellent Speech!
He Nailed #Israeli  Propaganda Within Four Minutes. Let's Make This Video Go Viral Please...
I Will Be Posting It On My account Everyday!

WE STAND WITH PALESTINE!
WE STAND WITH HUMANITY!",,,0.054,0.814,0.132,0.5951
"These people didnât need to steal someone elseâs land. They chose to live here in America the land of freedom. They are very happy here and they make America a better place with their rich, loving culture. We are lucky to have them.",,,0.054,0.587,0.359,0.9595
free Palestine ,,,0.0,0.233,0.767,0.5106
pray for gaza,,,0.0,0.465,0.535,0.3182
"Excellent Speech!
He Nailed #Israeli  Propaganda Within Four Minutes. Let's Make This Video Go Viral Please...
I Will Be Posting It On My account Everyday!

WE STAND WITH PALESTINE!
WE STAND WITH HUMANITY!",,,0.054,0.814,0.132,0.5951
"These people didnât need to steal someone elseâs land. They chose to live here in America the land of freedom. They are very happy here and they make America a better place with their rich, loving culture. We are lucky to have them.",,,0.054,0.587,0.359,0.9595
free Palestine ,,,0.0,0.233,0.767,0.5106
pray for gaza,,,0.0,0.465,0.535,0.3182
"Those who disguised themselves as anti-Semites will dress up as Santa Clauses and elves in December, for the same price",,,0.1,0.9,0.0,-0.2732
"There is an account on here called @TorahJudaism.

It is clear that they are not Jewish, they are antisemitic and continually misrepresent our community and Judaism.

They use translated versions of Turkish wikipedia in tweets to explain Judaism.

As we called out their BS, theyâ¦ twitter.com/shevereshtus/sâ¦",,,0.0,0.945,0.055,0.3818
"
 better get these people deported!",,,0.0,0.556,0.444,0.4926
How did they get so many Arabs to dress up as Jews?,,,0.0,1.0,0.0,0.0
Huge respect for these people.,,,0.0,0.357,0.643,0.6597
"This is what love is.

Thank you",,,0.0,0.427,0.573,0.7717
Men of integrity.,,,0.0,0.435,0.565,0.3818
Nothing but respect for these Jewish brothers and sisters.,,,0.294,0.706,0.0,-0.5157
Bless them ,,,0.0,0.263,0.737,0.4215
"Human is human 
Doesnât matters race colour religion or nationality 
Iâm glad to see those humans standing with Palestine 
We have a war whichâs started long time ago 
And itâs between human and human who believe they are above human",,,0.089,0.818,0.093,-0.2023
"Bless all the millions of protestors against #Zionist #genocide, especially our #Jewish allies.  So brave and so critical, to show that #Zionism is NOT #Judaism.",,,0.083,0.708,0.209,0.5994
"I don't want to talk or stay silent, I just want to cry,",,,0.409,0.591,0.0,-0.549
"Bless all the millions of protestors against #Zionist #genocide, especially our #Jewish allies.  So brave and so critical, to show that #Zionism is NOT #Judaism.",,,0.083,0.708,0.209,0.5994
"I don't want to talk or stay silent, I just want to cry,",,,0.409,0.591,0.0,-0.549
"Much respect to the real Jewish people who stand by humanity & despite the fact Zionist Benjamin Netanyahu regime blew up their Jewish Orthodox church & killed many innocent Jewish Orthodox Jewish & Christians, they fighting for  peace & humanity & protesting against genocide ",,,0.189,0.637,0.174,-0.2023
If only the whole world was so decent.,,,0.0,1.0,0.0,0.0
"Beautiful people

God bless you all",,,0.0,0.254,0.746,0.8316
Real jews  Zionists are not jews,,,0.0,1.0,0.0,0.0
Salute & Respect,,,0.0,0.244,0.756,0.4767
Thank you ,,,0.0,0.286,0.714,0.3612
"These people know, love and follow the Torah and itâs a beautiful thing to see. How long will it be before they are labelled antisemitic?",,,0.0,0.731,0.269,0.8442
"Merci, merci, merci : force et honneur Ã  vous ",,,0.0,1.0,0.0,0.0
Beautiful ,,,0.0,0.0,1.0,0.5994
"Thank you for this. You are an inspiration.
Hopefully our elected leaders, who are supposed to represent us, will listen to reason and force a ceasefire.",,,0.0,0.719,0.281,0.8225
Beautiful humanity  ,,,0.0,0.204,0.796,0.5994
These are Good Jews & should not be demonised by the current Israel Government who are nothing but disgusting who are devaluing the cruelty of the holocaust,,,0.158,0.677,0.165,-0.1867
Alhamdulillahâ¦Thank you brothers & sisters. May Allah Bless all of you. Amenâ¦,,,0.0,0.781,0.219,0.4215
Well said there is hope,,,0.0,0.375,0.625,0.6124
I appreciate my Jewish brothers standing up for what's right ,,,0.0,0.748,0.252,0.4019
"By God Almighty, there are Jews who have mercy and do not accept injustice, even if the oppressor is their brother. A scene that brought tears to my eyes when I saw the scene.",,,0.106,0.698,0.196,0.5445
Good to see Jews saying ânot in my nameâ,,,0.0,0.734,0.266,0.4404
Well done those people who understand shalom/salaam,,,0.0,0.741,0.259,0.2732
"This is impressive, very brave indeed ",,,0.0,0.364,0.636,0.7902
Hats off to them! it takes guts and conviction to do that,,,0.0,1.0,0.0,0.0
"I love u all for holding to ur true religion  The Messenger of Allah(s.a.w) said:
""There shall come upon the people a time in which the one who is patient upon his religion will be like the one holding onto a burning ember.""
All we can do now is pray & trust God' justice ",,,0.0,0.671,0.329,0.9618
Bless you all for your bravery and humanity ,,,0.0,0.5,0.5,0.7184
"These Jews are our friends
They are not Zionist
They're not terrorist
They are right",,,0.0,0.655,0.345,0.7807
Thank you to all,,,0.0,0.545,0.455,0.3612
Humanity on display - More power to the 'peacemakers'.. ,,,0.0,1.0,0.0,0.0
Beautiful Jews ,,,0.0,0.204,0.796,0.5994
"I have no words to explain myself but very thankful for standing and approaching to worlds so called leaders 
Once again thank you very much. ",,,0.051,0.67,0.279,0.8458
wonderful,,,0.0,0.0,1.0,0.5719
Love these people,,,0.0,0.323,0.677,0.6369
My love and support to you all. ,,,0.0,0.42,0.58,0.7845
Thank you!,,,0.0,0.264,0.736,0.4199
It seems the teal jews are also the victim of isra*l,,,0.174,0.826,0.0,-0.2732
Much respect ,,,0.0,0.244,0.756,0.4767
Un grand chapeau bas et tout mon respect ils n'arriveront pas a nous diviser milles mercis ,,,0.077,0.612,0.311,0.6808
Looks like they are walking not marching. I am all for a peaceful resolution.,,,0.0,0.637,0.363,0.6908
"Antizionism is not antisÃ©mitisme 

",,,0.0,1.0,0.0,0.0
"Some Jews themselves are supporting the Muslims in Gaza, but the blind followers still feel no shame in making Israel their illegitimate father",,,0.334,0.604,0.062,-0.8608
Congratulations to them. Coexistence is still better..,,,0.0,0.606,0.394,0.5994
"Looks like they are walking not marching. I am all for a peaceful resolution.,,,,,,,,,,,,,,",,,0.0,0.637,0.363,0.6908
It seems the teal jews are also the victim of isra*,,,0.174,0.826,0.0,-0.2732
Much respect ,,,0.0,0.244,0.756,0.4767
A big tip of the hat and all my respect. They will not manage to divide us. A thousand thanks,,,0.0,0.727,0.273,0.7184
stay blessed,,,0.0,0.204,0.796,0.5994
There still some hope,,,0.0,0.508,0.492,0.4404
"This is for your silence and complicty 

God bless them
",,,0.0,0.62,0.38,0.5994
"Thats what being human stands for...""",,,0.0,1.0,0.0,0.0
Those folks were very brave.,,,0.0,0.52,0.48,0.5709
"When I need faith & peace in my...
When I need to seek to help rather than raise arms in aggression...
These peaceful warriors show the way.
Dont let up. We need u now more than ever.

Don't get fooled by this hoodlums,,,,,,,,,,,,,,
#VoteZionistsOut,,,,,,,,,,,,,,
âKnowing is easy. Understanding is hard. There's a huge difference between knowing and understanding.â - ",,,0.021,0.682,0.297,0.953
"Thread of threads.""",,,0.0,1.0,0.0,0.0
peace!,,,0.0,0.0,1.0,0.5848
Those folks were very brave.,,,0.0,0.52,0.48,0.5709
"When I need faith & peace in my...
When I need to seek to help rather than raise arms in aggression...
These peaceful warriors show the way.
Dont let up. We need u now more than ever.

#VoteZionistsOut,,,,,,,,,,,,,,
âKnowing is easy. Understanding is hard. There's a huge difference between knowing and understanding.â - ",,,0.024,0.68,0.296,0.9432
That is brave.,,,0.0,0.37,0.63,0.5267
May God bless you all,,,0.0,0.38,0.62,0.5994
Herois,,,0.0,1.0,0.0,0.0
Heroic,,,0.0,0.0,1.0,0.5574
"âThese commandments that I give you today are to be on your hearts. Impress them on your children. Talk about them when you sit at home and when you walk along the road, when you lie down and when you get upâ - Deuteronomy 6:6-7",,,0.0,0.935,0.065,0.4404
Humanity  wins,,,0.0,0.213,0.787,0.5719
Clear fact: Zionists are enemies. Jews and Christians aren't.,,,0.25,0.547,0.203,-0.1531
"Front row are obviously well placed informed, having spent many years analysing all available evidence.",,,0.0,0.87,0.13,0.2732
Humanity  wins,,,0.0,0.213,0.787,0.5719
Clear fact: Zionists are enemies. Jews and Christians aren't.,,,0.25,0.547,0.203,-0.1531
"Front row are obviously well placed informed, having spent many years analysing all available evidence.",,,0.0,0.87,0.13,0.2732
SELF HATING JEWS,,,0.623,0.377,0.0,-0.5106
Love it ,,,0.0,0.192,0.808,0.6369
Thank you Allah knows you are on the right side MashaaAllah,,,0.0,0.8,0.2,0.3612
So brave.,,,0.0,0.213,0.787,0.5709
 #ceasefirenow,,,0.0,1.0,0.0,0.0
peace,,,0.0,0.0,1.0,0.5423
"
 that is hope",,,0.0,0.408,0.592,0.4404
 Thank you.,,,0.0,0.286,0.714,0.3612
"Humanity at its best , there is a hope ",,,0.0,0.413,0.587,0.7964
These are the real Jews and real followers of Tohrat....,,,0.0,1.0,0.0,0.0
We must prosecute,,,0.574,0.426,0.0,-0.4019
"Bravo, you must be praised. You are right; all people, all faiths can live together. Politicians divide.",,,0.0,0.714,0.286,0.7184
Such courage!! Thank you for standing up for humanity ,,,0.0,0.527,0.473,0.7418
Respect to your humanity,,,0.0,0.492,0.508,0.4767
"May God Almighty bless you for making all right-minded, justice-oriented people proud!!",,,0.0,0.512,0.488,0.8217
"Humanity at its best , there is a hope ",,,0.0,0.413,0.587,0.7964
"
Whether yes or no, are you in favor of this demonstration?",,,0.138,0.438,0.425,0.5574
These are the real Jews and real followers of Tohrat....,,,0.0,1.0,0.0,0.0
Something beautiful! ,,,0.0,0.193,0.807,0.636
Respect to your humanity,,,0.0,0.492,0.508,0.4767
thank you so much,,,0.0,0.545,0.455,0.3612
"good people, I'm glad they exist",,,0.0,0.404,0.596,0.7096
There are good hearts and things in the world too,,,0.0,0.756,0.244,0.4404
Love u all ,,,0.0,0.192,0.808,0.6369
Same coin...,,,0.0,1.0,0.0,0.0
this is beautifull,,,0.0,1.0,0.0,0.0
Wonderful ! Ceasefire now !,,,0.0,0.318,0.682,0.6467
"We love you for your selflessness, adherence to your own beliefs, and dignity.",,,0.0,0.615,0.385,0.7845
Itâs really hard to pick the anti-Semites in this crowd.,,,0.158,0.842,0.0,-0.1761
WIND OF CHANGE,,,0.0,1.0,0.0,0.0
Albert Einstein would be so proud of them.,,,0.0,0.637,0.363,0.6113
I love you my brothers and sisters.,,,0.0,0.543,0.457,0.6369
this is beautifull,,,0.0,1.0,0.0,0.0
Wonderful ! Ceasefire now !,,,0.0,0.318,0.682,0.6467
"We love you for your selflessness, adherence to your own beliefs, and dignity.",,,0.0,0.615,0.385,0.7845
Itâs really hard to pick the anti-Semites in this crowd.,,,0.158,0.842,0.0,-0.1761
WIND OF CHANGE,,,0.0,1.0,0.0,0.0
Albert Einstein would be so proud of them.,,,0.0,0.637,0.363,0.6113
I love you my brothers and sisters.,,,0.0,0.543,0.457,0.6369
"The Zionists must be kicked out of Israel!!
Israeli Zionists are Ashkenazi Jews, i.e. the Kazarian Mafia, and are not Jews.
They are a group of Satan.
They are a fraudulent criminal group!!",,,0.211,0.789,0.0,-0.8302
"... ALL civilized people support Palestine.

#FromTheRiverToTheSea",,,0.0,0.69,0.31,0.4019
"They donât seem scared and intimidated 
@Baddiel",,,0.537,0.463,0.0,-0.7003
"Are they also Hamas?
,
Does that mean they are antisemites?,,,,,,,,,,,,,,
Awesome. ,,,,,,,,,,,,,,
Great job",,,0.0,0.584,0.416,0.8611
"They donât seem scared and intimidated 
@Baddiel",,,0.537,0.463,0.0,-0.7003
That's something!,,,0.0,1.0,0.0,0.0
"Awesome.  brothers! Wish I was there yl give those cute kids some treats.""",,,0.0,0.471,0.529,0.8777
"Great job, brothers! Wish I was there yl give those cute kids some treats.",,,0.0,0.498,0.502,0.8777
Let us all stand together  and PRAY for them ,,,0.0,0.725,0.275,0.4648
I wonder if John Arnold made a stop in the nations capital to bring some cameras into town..,,,0.128,0.872,0.0,-0.296
We love you all,,,0.0,0.417,0.583,0.6369
Well done. The people are for Palestine and against the genocidal Zionist regime,,,0.0,0.851,0.149,0.2732
True heroes.,,,0.0,0.0,1.0,0.7269
If they can March. So can we all.,,,0.0,1.0,0.0,0.0
but why are they in the US?,,,0.0,1.0,0.0,0.0
Thank you. From a Muslim. Thank you a thousand times.,,,0.0,0.545,0.455,0.6124
Decent human beings !!!,,,0.0,1.0,0.0,0.0
Thank you for your support to the people of Palestine. This is not a matter of religion or race. This is a matter of humanity.,,,0.082,0.721,0.197,0.6189
What a problem for the US... The Jews and the Jews but Zionists... I wonder if they'd let them walk in FLA... they don't allow ANY manifestation against... Jews! No antisemitism!! Except that the Palestinians are Semites... Freedom of Expression!!! hahahaha,,,0.161,0.72,0.119,0.5137
Van mÃ©g  tÃ¶bb  csoport?!,,,0.0,1.0,0.0,0.0
"Thank very much for exposing the #Zionism and the #Zionists 
Because of your efforts the world  got educated about the evilness of Zionism. 
#ZionismIsNotJudaism",,,0.216,0.701,0.083,-0.6077
"Wow look at all those antisemitic ppl? 

I mean wait... whats the token excuse now for the Zionists when they see this? ",,,0.0,0.777,0.223,0.6662
I love you all. THANK YOU,,,0.0,0.288,0.712,0.8143
"Nethanyahu, they all are knows your ugly face 
Shame you killer of innocent Muslims children",,,0.444,0.456,0.1,-0.8519
"
 I do have a genuine question tho about this, I have seen many Israelis calling these rallies as anti Semitic. I mean like if it is, why do the Jewish communities also join in? 

Are you going to call them Kapo? Some of them are Orthodox Jews tho.",,,0.048,0.848,0.105,0.4137
"
 why is your media not showing this? Have you wondered?",,,0.0,1.0,0.0,0.0
"Beautiful gesture! 

When genuine affection can finally win,why kill it with the infection of war?

Israel Govt : You may WIN this war, but you have lost the world..At least listen to the âvoice of sanityâ from your own people!  

Hostages shall return. But the dead left forever.",,,0.271,0.613,0.117,-0.8961
You show your children only when you know firmly you're in the good side,,,0.0,0.818,0.182,0.4404
"Zionism is not Judaism
Hindutva is not Hinduism",,,0.0,1.0,0.0,0.0
Thank you ,,,0.0,0.286,0.714,0.3612
"You really have my utmost respect, all the best to you all.",,,0.0,0.578,0.422,0.8074
"It's acceptable to be anti-Zionist cos they have shown themselves Nazis, it's also acceptable to protest the murderous Isreali government but anything else....",,,0.155,0.72,0.125,-0.2023
Do your best,,,0.0,0.323,0.677,0.6369
Once again for the back: Israel is not Jews.,,,0.0,1.0,0.0,0.0
 kind Jewish people of Americaã,,,0.0,0.541,0.459,0.5267
"#CeasefireNOW #RemoveNetanyahu #TwoStateSolution Don't make the same mistakes as Cyprus, which remains divided for so many decades. Learn from history.",,,0.116,0.884,0.0,-0.3612
We stand with Palestine.,,,0.0,1.0,0.0,0.0
"Anthem for Palestine

#Al-Hilal_Ahly #Gaza_Now
#Gazabombing #starlinkforgaza 
#Save_Palestine
Pary for #Gaza
Thatâs from Ukraine and thatâs a Russian tank
Since when is Israel fighting in Ukraine with russian tanks? I am confused.
For the sake of world peace",,,0.116,0.799,0.085,-0.0772
"We have to raise our voices for world peace. Raise your voice for a ceasefire between Palestine and Israel. Free Palestine""",,,0.0,0.726,0.274,0.7783
Boycott israel,,,0.697,0.303,0.0,-0.3182
"yes but its not a 'state' as it has no fixed borders
@IDF
 blew up a mosque
wonder if it had people inside?",,,0.118,0.803,0.078,-0.2382
Goes without saying.,,,0.0,1.0,0.0,0.0
If there is hell on the earth that is lives of Children in Gaza .,,,0.261,0.739,0.0,-0.6808
Good job By HAMAS,,,0.0,0.508,0.492,0.4404
That is video from Ukraine! Nice try!,,,0.0,0.639,0.361,0.5242
Donât spread propaganda,,,0.5,0.5,0.0,-0.25
Mashallah.. Mashallah.. Praise be to God,,,0.0,0.412,0.588,0.6908
Allahoakber,,,0.0,1.0,0.0,0.0
Say God  willing,,,0.0,0.488,0.512,0.2732
Have some patience and the smoke is still to come.,,,0.0,1.0,0.0,0.0
Allah Huakbar,,,0.0,1.0,0.0,0.0
Lmao no ,,,0.361,0.0,0.639,0.4019
Allah is the greatest,,,0.0,0.417,0.583,0.6369
Typical madrshachap comment,,,0.0,1.0,0.0,0.0
Standing for israel,,,0.0,1.0,0.0,0.0
Islam is a terrorist religion,,,0.61,0.39,0.0,-0.6908
Typical madrshachap comment,,,0.0,1.0,0.0,0.0
Standing for israel,,,0.0,1.0,0.0,0.0
"Israel fearlessly fighting for the homeland of judaism people
aggression must not be tolerated
Israel",,,0.25,0.638,0.112,-0.3818
Islam is a terrorist religion,,,0.61,0.39,0.0,-0.6908
